"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_E20ads_v5","20","1047552","768000","163840","32"
"Standard_E32-8ads_v5","32","1047552","1228800","262144","32"
"Standard_E32-16ads_v5","32","1047552","1228800","262144","32"
"Standard_E32ads_v5","32","1047552","1228800","262144","32"
"Standard_E48ads_v5","48","1047552","1843200","393216","32"
"Standard_E64-16ads_v5","64","1047552","2457600","524288","32"
"Standard_E64-32ads_v5","64","1047552","2457600","524288","32"
"Standard_E64ads_v5","64","1047552","2457600","524288","32"
"Standard_E96-24ads_v5","96","1047552","3686400","688128","32"
"Standard_E96-48ads_v5","96","1047552","3686400","688128","32"
"Standard_E96ads_v5","96","1047552","3686400","688128","32"
"Standard_DC1s_v3","1","1047552","0","8192","4"
